player_id,player_name,game_dt,epm,oepm,depm
101108,Chris Paul,2022-04-10,4.32009,3.06013,1.25996
101150,Lou Williams,2022-04-10,-1.86489,-0.961967,-0.902921
1626145,Tyus Jones,2022-04-10,1.37299,0.910155,0.462835
1626147,Justin Anderson,2022-04-05,-1.61192,-0.541594,-1.07033
1626149,Montrezl Harrell,2022-04-10,1.37566,1.06525,0.310413
1626153,Delon Wright,2022-04-10,-0.865867,-1.27404,0.408177
1626156,D'Angelo Russell,2022-04-10,1.04409,2.16536,-1.12128
1626157,Karl-Anthony Towns,2022-04-10,4.39882,4.33198,0.0668361
1626158,Richaun Holmes,2022-04-10,-0.923706,-0.724459,-0.199247
1626159,Justise Winslow,2022-04-10,-1.20344,-2.2279,1.02447
1626162,Kelly Oubre Jr.,2022-04-10,-0.668563,0.141075,-0.809637
1626163,Frank Kaminsky,2022-04-06,-0.859096,-1.03684,0.177744
1626164,Devin Booker,2022-04-10,3.9599,4.26226,-0.302362
1626166,Cameron Payne,2022-04-10,1.78475,0.726612,1.05814
1626167,Myles Turner,2022-04-10,1.26447,0.251716,1.01276
1626168,Trey Lyles,2022-04-10,-1.96076,-0.507438,-1.45333
1626169,Stanley Johnson,2022-04-10,-1.71949,-1.65048,-0.0690153
1626171,Bobby Portis,2022-04-10,1.40488,1.27739,0.127487
1626172,Kevon Looney,2022-04-10,1.542,-0.18238,1.72438
1626174,Christian Wood,2022-04-10,0.49851,0.44657,0.0519399
1626179,Terry Rozier,2022-04-10,1.22354,1.80882,-0.585281
1626181,Norman Powell,2022-04-10,-0.676197,1.10508,-1.78127
1626192,Pat Connaughton,2022-04-10,-1.15268,0.163883,-1.31657
1626195,Willy Hernangomez,2022-04-10,0.200532,0.999889,-0.799356
1626196,Josh Richardson,2022-04-10,-0.833039,-0.444117,-0.388923
1626204,Larry Nance Jr.,2022-04-10,-1.56201,-1.78206,0.220046
1626208,Keifer Sykes,2022-04-05,-3.317,-2.09366,-1.22334
1626220,Royce O'Neale,2022-04-10,0.0926693,-0.554845,0.647515
1626224,Cedi Osman,2022-04-10,-2.32833,-0.884328,-1.44401
1626246,Boban Marjanovic,2022-04-10,0.694699,0.15241,0.542289
1627732,Ben Simmons,2022-04-10,1.9661,-0.0388202,2.00492
1627734,Domantas Sabonis,2022-04-10,2.34868,1.14771,1.20096
1627736,Malik Beasley,2022-04-10,-0.258686,0.712675,-0.971361
1627737,Marquese Chriss,2022-04-10,-1.86739,-1.68435,-0.183042
1627739,Kris Dunn,2022-04-10,-2.44166,-2.96172,0.520056
1627741,Buddy Hield,2022-04-10,-0.0851706,1.39522,-1.48039
1627742,Brandon Ingram,2022-04-10,1.96061,2.07754,-0.116933
1627745,Damian Jones,2022-04-10,-1.82797,-0.946813,-0.881157
1627747,Caris LeVert,2022-04-10,-1.53107,0.295832,-1.82691
1627749,Dejounte Murray,2022-04-10,3.27075,2.20883,1.06192
1627750,Jamal Murray,2022-04-10,1.74679,2.0299,-0.283108
1627751,Jakob Poeltl,2022-04-10,2.26005,0.882938,1.37711
1627752,Taurean Prince,2022-04-10,-1.20765,-0.847929,-0.35972
