NBA ID,Player Name,Position,Age,DPM,Offensive DPM,Defensive DPM,Box Only O-DPM,Box Only D-DPM,On Off O-DPM,On Off D-DPM
1631222,Jake LaRavia,sf_pos,24.6,-0.67,-1.68,1,-1.96,1.5,-1.39,0.7
1641796,Pelle Larsson,sg_pos,25.3,-0.69,-0.37,-0.31,-0.37,-0.39,-0.39,-0.24
1631133,Jabari Walker,pf_pos,23.8,-0.7,-0.7,0,-1.05,-0.68,-0.26,0.52
1631248,Baylor Scheierman,sg_pos,25.7,-0.7,-0.62,-0.09,-0.57,-0.35,-0.74,0.33
1642277,Johnny Furphy,sf_pos,21.5,-0.71,-1.38,0.68,-1.55,0.62,-0.61,0.82
1641772,Nae'Qwan Tomlin,sf_pos,25.5,-0.72,-0.73,0.01,-0.6,-0.17,-1.3,0.49
1627734,Domantas Sabonis,c_pos,30.1,-0.72,-0.2,-0.53,-0.67,0.02,-0.09,-0.6
1642066,Myron Gardner,sg_pos,24.9,-0.73,-0.91,0.18,-0.91,0.15,-0.85,0.37
1628418,Thomas Bryant,c_pos,28.8,-0.73,-0.64,-0.09,-0.38,0.23,-0.81,-0.23
1642864,Hugo González,sg_pos,20.2,-0.74,-1.82,1.08,-2.08,0.96,-0.64,1.43
1641747,DaRon Holmes II,pf_pos,23.8,-0.76,-0.48,-0.29,-0.46,-0.3,-0.79,-0.15
1628370,Malik Monk,pg_pos,28.3,-0.77,0.27,-1.03,0.58,-0.97,0.15,-1.04
1641854,Craig Porter,pg_pos,26.3,-0.78,-1.74,0.96,-1.93,1.17,-1.35,0.7
1642847,Jeremiah Fears,pg_pos,19.5,-0.79,-0.02,-0.77,0.08,-0.36,-0.25,-1.34
1631212,Peyton Watson,sg_pos,23.7,-0.81,-0.55,-0.25,-0.81,0.13,-0.31,-0.47
1630533,Ziaire Williams,sf_pos,24.7,-0.81,-1.34,0.53,-0.61,1,-1.93,0.3
203914,Gary Harris,sg_pos,31.7,-0.82,-1.42,0.61,-1.06,0.88,-1.52,0.56
203501,Tim Hardaway Jr.,sg_pos,34.2,-0.82,0.55,-1.37,0.13,-1.52,0.63,-1.35
1641824,Matas Buzelis,pf_pos,21.6,-0.82,-0.16,-0.67,0.26,-0.67,-0.68,-0.67
203992,Bogdan Bogdanovic,sg_pos,33.8,-0.83,-0.8,-0.03,-1.52,-0.47,-0.58,0.05
1627741,Buddy Hield,sg_pos,33.5,-0.84,-0.56,-0.28,0.8,0.34,-0.87,-0.36
