rank,player,team,position,age,minutes,games,epm,prior_war,projected_war,fair_value,actual_salary,opening_price,tier
272,guerschon yabusele,CHICAGO BULLS,C,30.0,1006.9,66,-1.447,0.79,-0.18,291604,0,2000000,bench
273,isaiah collier,UTAH JAZZ,PG,21.0,1516.8,58,-3.597,0.2,-0.41,-832876,2763960,2000000,bench
274,jarace walker,INDIANA PACERS,PF,22.0,1953.2,75,-3.099,-0.25,-0.08,817421,8478542,2000000,bench
275,jericho sims,MILWAUKEE BUCKS,C,27.0,1317.7,66,-2.825,-0.86,-0.91,-3368113,0,2000000,bench
276,jordan clarkson,NEW YORK KNICKS,SG,33.0,1279.3,70,-1.916,0.54,-0.43,-957734,14285714,2000000,bench
277,justin edwards,PHILADELPHIA 76ERS,SF,22.0,976.8,64,-1.777,0.43,-0.01,1147172,1955377,2000000,bench
278,karlo matkovic,NEW ORLEANS PELICANS,PF,24.0,911.7,61,-1.966,1.03,-0.05,928942,2296271,2000000,bench
279,kobe brown,INDIANA PACERS,PF,26.0,962.3,61,-2.905,-0.27,-0.96,-3591915,4792059,2000000,bench
280,luke kennard,LOS ANGELES LAKERS,SG,29.0,1680.2,77,-1.159,-0.45,0.09,1626340,0,2000000,bench
281,micah peavy,NEW ORLEANS PELICANS,SG,24.0,912.8,60,-2.305,0.65,-0.32,-413889,0,2000000,bench
282,micah potter,INDIANA PACERS,C,27.0,908.2,46,-1.319,1.31,0.14,1916669,0,2000000,bench
283,mike conley,MINNESOTA TIMBERWOLVES,PG,38.0,991.2,53,-0.236,1.06,-0.04,1001153,10774038,2000000,bench
284,nicolas batum,LOS ANGELES CLIPPERS,PF,37.0,1294.4,73,-1.985,0.12,-0.81,-2869892,4901400,2000000,bench
285,nolan traore,BROOKLYN NETS,PG,19.0,1243.3,55,-3.237,-0.7,-0.64,-1989754,0,2000000,bench
286,ochai agbaji,BROOKLYN NETS,SG,25.0,973.1,60,-2.461,0.27,-0.53,-1433771,6383525,2000000,bench
287,ousmane dieng,MILWAUKEE BUCKS,C,22.0,1099.4,57,-2.694,0.58,-0.26,-100226,6670882,2000000,bench
288,pat spencer,GOLDEN STATE WARRIORS,PG,29.0,1228.7,66,-2.118,0.48,-0.35,-542483,0,2000000,bench
289,patrick williams,CHICAGO BULLS,PF,24.0,1473.6,71,-4.055,-0.22,-0.94,-3490272,18000000,2000000,bench
290,rayan rupert,MEMPHIS GRIZZLIES,SG,21.0,1072.3,63,-5.38,-0.58,-1.75,-7538022,2221677,2000000,bench
291,rob dillingham,CHICAGO BULLS,PG,21.0,969.8,64,-4.316,-0.4,-1.31,-5364396,6889320,2000000,bench
292,ryan nembhard,DALLAS MAVERICKS,PG,22.0,1170.8,59,-1.214,-0.53,0.05,1468963,0,2000000,bench
293,spencer jones,DENVER NUGGETS,SF,24.0,1416.6,63,-1.722,0.15,0.13,1855331,0,2000000,bench
294,taylor hendricks,MEMPHIS GRIZZLIES,PF,22.0,1118.4,58,-1.986,0.33,-0.03,1052092,7805900,2000000,bench
295,terance mann,BROOKLYN NETS,SG,29.0,1528.9,62,-1.918,0.03,-0.19,253350,15500000,2000000,bench
296,tre johnson,WASHINGTON WIZARDS,SG,19.0,1442.7,59,-1.933,-1.67,-0.26,-105163,0,2000000,bench
297,tyus jones,DENVER NUGGETS,PG,29.0,978.3,65,-2.994,0.99,-0.74,-2482825,0,2000000,bench
298,walter clayton jr.,MEMPHIS GRIZZLIES,PG,22.0,1410.5,68,-3.192,-0.18,-0.49,-1265568,0,2000000,bench
299,will riley,WASHINGTON WIZARDS,SF,19.0,1632.4,73,-3.092,-1.54,-0.57,-1635418,0,2000000,bench
300,yves missi,NEW ORLEANS PELICANS,C,21.0,1296.8,65,-3.142,1.61,0.09,1664142,3512760,2000000,bench
